Test metric,YouTubeMix - 8 layers,YouTubeBigBand - 8 layers,YouTubeBigBand - 2 layers
final/test/accuracy,0.4203284681,0.2712537646,0.2763933837
final/test/accuracy@10,0.9719890952,0.8419079781,0.8469367623
final/test/accuracy@3,0.8351296782,0.5753707886,0.5834547877
final/test/accuracy@5,0.9241486192,0.7081467509,0.7151495218
final/test/bpb,2.063964605,3.186672688,3.148929119
final/test/loss,1.430631161,2.208833218,2.18267107
final/val/accuracy,0.4274106026,0.1958580017,0.2006134242
final/val/accuracy@10,0.9736651778,0.7966675162,0.8028350472
final/val/accuracy@3,0.8423588276,0.4739839137,0.4833323658
final/val/accuracy@5,0.9283464551,0.6271582842,0.6360203624
final/val/bpb,2.029698849,3.658079863,3.611066103
final/val/loss,1.40688026,2.535587311,2.503000021
